"id","list","added_date","added_by","threat_type","notes"
1,"101nitro.com
1111sale.us
15dfjkbvdf.club
17ebook.com
1month-premium.com
1nitro.club
1ownandfresh1.com
1payxperxinst1.com
1redirb.com
1ts11.top
1tvv.ru
1wat.ru
2012-drakon.ru
2012-god.ru
2015-god-kozy.ru
143,antivirus-prot.com,"2025-05-23 15:57:04",system,malicious,
144,antivirus.landerhd.com,"2025-05-23 15:57:04",system,malicious,
145,aoeah.promo-codes.world,"2025-05-23 15:57:04",system,malicious,
146,ap7.ru,"2025-05-23 15:57:04",system,malicious,
147,api-beta.com,"2025-05-23 15:57:04",system,malicious,
148,apilond.com,"2025-05-23 15:57:04",system,malicious,
149,aplication-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
150,app-dicsord.ru,"2025-05-23 15:57:04",system,malicious,
151,app-discord.com,"2025-05-23 15:57:04",system,malicious,
152,app-discord.net,"2025-05-23 15:57:04",system,malicious,
153,app-discord.ru,"2025-05-23 15:57:04",system,malicious,
154,app-discordc.com,"2025-05-23 15:57:04",system,malicious,
155,app-discords.com,"2025-05-23 15:57:04",system,malicious,
156,app-gifts.ru,"2025-05-23 15:57:04",system,malicious,
157,app-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
158,app-hypesquad.online,"2025-05-23 15:57:04",system,malicious,
159,app-hypesquadevents.com,"2025-05-23 15:57:04",system,malicious,
160,app-jdl.ru,"2025-05-23 15:57:04",system,malicious,
161,app-moderator.com,"2025-05-23 15:57:04",system,malicious,
162,app-nitro.com,"2025-05-23 15:57:04",system,malicious,
163,application-discord.com,"2025-05-23 15:57:04",system,malicious,
164,application-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
165,application-hypesquadevents.com,"2025-05-23 15:57:04",system,malicious,
166,application-hypevents.com,"2025-05-23 15:57:04",system,malicious,
167,application-moderation.com,"2025-05-23 15:57:04",system,malicious,
168,application-moderator.com,"2025-05-23 15:57:04",system,malicious,
169,application-moderatoracademy.com,"2025-05-23 15:57:04",system,malicious,
170,application-moderators.com,"2025-05-23 15:57:04",system,malicious,
171,application-recruitment.com,"2025-05-23 15:57:04",system,malicious,
172,applicationmoderatoracademy.com,"2025-05-23 15:57:04",system,malicious,
